	_id	sameAs
209	dde_cd3a6e3fba77bd7e	https://data.niaid.nih.gov/resources?id=msv000081559
210	dde_ddde783f14a29692	https://data.niaid.nih.gov/resources?id=gse77160
211	dde_dfeb3738df3952ba	https://data.niaid.nih.gov/resources?id=gse100509
212	dde_e24d635b2dc762b6	https://data.niaid.nih.gov/resources?id=gse134397
213	dde_e3e580ebd0a0b301	https://data.niaid.nih.gov/resources?id=msv000079704
214	dde_e569e1b959f0225e	https://data.niaid.nih.gov/resources?id=gse52937
215	dde_e73af772c605b3a9	https://data.niaid.nih.gov/resources?id=msv000079701
216	dde_eb1461df04d96427	https://data.niaid.nih.gov/resources?id=gse68946
217	dde_ebb0a0fb63f51b28	https://data.niaid.nih.gov/resources?id=prjna639060
218	dde_f553a6b1de0a46ca	https://data.niaid.nih.gov/resources?id=msv000080354
219	dde_f69a7658f7cdf84e	https://data.niaid.nih.gov/resources?id=msv000081888
220	gse168215	https://data.niaid.nih.gov/resources?id=dde_026a2652e9c13d8f
221	prjna423123	https://data.niaid.nih.gov/resources?id=dde_046fd968814fd76f
222	msv000080017	https://data.niaid.nih.gov/resources?id=dde_0565c31a11705723
223	prjna513389	https://data.niaid.nih.gov/resources?id=dde_080de1604f9f92e0
224	gse72459	https://data.niaid.nih.gov/resources?id=dde_0c1427f1e8684aea
225	prjna548153	https://data.niaid.nih.gov/resources?id=dde_0c6dbc5996117836
226	gse68381	https://data.niaid.nih.gov/resources?id=dde_0f2a8fc498f4ab28
227	msv000079468	https://data.niaid.nih.gov/resources?id=dde_1e1529500ccdf414
228	msv000080025	https://data.niaid.nih.gov/resources?id=dde_2287406f2af19b8d
229	prjna607574	https://data.niaid.nih.gov/resources?id=dde_244d8d929fbb2925
230	msv000081050	https://data.niaid.nih.gov/resources?id=dde_2948be3de4a268d2
231	gse79458	https://data.niaid.nih.gov/resources?id=dde_2db1d9ab8744615f
232	prjna526551	https://data.niaid.nih.gov/resources?id=dde_2e6a96023cabbe98
233	gse78887	https://data.niaid.nih.gov/resources?id=dde_2f0ab5324160b3d6
234	gse67474	https://data.niaid.nih.gov/resources?id=dde_33d8dc64e96b8fa9
235	prjna311224	https://data.niaid.nih.gov/resources?id=dde_397bf5475339ea3a
236	gse99486	https://data.niaid.nih.gov/resources?id=dde_3d8394be18ac2066
237	msv000079702	https://data.niaid.nih.gov/resources?id=dde_3dbfc64e0e6e0dd7
238	prjna470935	https://data.niaid.nih.gov/resources?id=dde_3e18312eda80a9da
239	gse79733	https://data.niaid.nih.gov/resources?id=dde_40b801326365a1c2
240	gse196010	https://data.niaid.nih.gov/resources?id=dde_4697d40077ff039f
241	prjna386260	https://data.niaid.nih.gov/resources?id=dde_49e2be00cedf88d0
242	msv000081051	https://data.niaid.nih.gov/resources?id=dde_4f25bedd12f4c98f
243	msv000079386	https://data.niaid.nih.gov/resources?id=dde_4fb370c482dcb376
244	gse65574	https://data.niaid.nih.gov/resources?id=dde_51d62145e328627a
245	gse59086	https://data.niaid.nih.gov/resources?id=dde_64769e48d2169106
246	prjna521559	https://data.niaid.nih.gov/resources?id=dde_66c0ab81b12cff8c
247	gse151991	https://data.niaid.nih.gov/resources?id=dde_67bb1cfa4f251a8a
248	prjna46339	https://data.niaid.nih.gov/resources?id=dde_688aa9a7f4c82c67
249	gse106523	https://data.niaid.nih.gov/resources?id=dde_70f59e5f54409ca0
250	gse156295	https://data.niaid.nih.gov/resources?id=dde_754b54400af3d34e
251	prjna637031	https://data.niaid.nih.gov/resources?id=dde_756e3c9b8114b243
252	gse86528	https://data.niaid.nih.gov/resources?id=dde_7a387825931ceb18
253	prjna485123	https://data.niaid.nih.gov/resources?id=dde_8a035090d274bf48
254	prjna381935	https://data.niaid.nih.gov/resources?id=dde_8d0c089524c32e6f
255	gse81852	https://data.niaid.nih.gov/resources?id=dde_8f7c2532ec08350c
256	gse122252	https://data.niaid.nih.gov/resources?id=dde_8f99c8b803ac5aa3
257	msv000079343	https://data.niaid.nih.gov/resources?id=dde_928e50eb619314c7
258	gse102440	https://data.niaid.nih.gov/resources?id=dde_954c6ca380492d2a
259	msv000082131	https://data.niaid.nih.gov/resources?id=dde_990e008d5dd763bc
260	msv000081052	https://data.niaid.nih.gov/resources?id=dde_9dec4f5347000e81
261	gse140759	https://data.niaid.nih.gov/resources?id=dde_a33ef37c802469f1
262	msv000079152	https://data.niaid.nih.gov/resources?id=dde_a55c5571a5daf0c1
263	msv000079469	https://data.niaid.nih.gov/resources?id=dde_a64949fc136074e9
264	gse171759	https://data.niaid.nih.gov/resources?id=dde_ab48e39e4cf29552
265	msv000082801	https://data.niaid.nih.gov/resources?id=dde_afd56b720bb29862
266	prjna422915	https://data.niaid.nih.gov/resources?id=dde_b04f7ad845dcfa26
267	msv000079542	https://data.niaid.nih.gov/resources?id=dde_b89e88089e81f70c
268	gse79172	https://data.niaid.nih.gov/resources?id=dde_bbdc935d5b82c8f1
269	gse69026	https://data.niaid.nih.gov/resources?id=dde_bc544a7ae451913f
270	gse74628	https://data.niaid.nih.gov/resources?id=dde_c0e3011ec712411b
271	gse127803	https://data.niaid.nih.gov/resources?id=dde_c3f815078dc762b1
272	prjna342347	https://data.niaid.nih.gov/resources?id=dde_c527782f33fb0fad
273	gse181246	https://data.niaid.nih.gov/resources?id=dde_c72e9f3db5936ba7
274	gse144142	https://data.niaid.nih.gov/resources?id=dde_c93f2bde611fe507
275	msv000081848	https://data.niaid.nih.gov/resources?id=dde_cddb69d43509a170
276	gse196011	https://data.niaid.nih.gov/resources?id=dde_d08c8758d506cdb2
277	msv000080022	https://data.niaid.nih.gov/resources?id=dde_d5011648c8c56fb1
278	msv000082348	https://data.niaid.nih.gov/resources?id=dde_d5f061005273f33e
279	gse116353	https://data.niaid.nih.gov/resources?id=dde_da51e1e4a852e31b
